event_id,user_id,product_id,event_type,event_date,event_time
E00035632,U004236,P001373,cart,02-01-24,20:29:57
E00021562,U008065,P001131,view,02-01-24,20:34:17
E00027323,U000809,P000995,cart,02-01-24,20:37:51
E00006157,U003061,P000031,purchase,02-01-24,20:38:29
E00049871,U008730,P001695,view,02-01-24,20:53:10
E00005079,U004773,P001285,wishlist,02-01-24,20:58:21
E00071454,U004144,P001316,view,02-01-24,21:31:16
E00040448,U006779,P001740,view,02-01-24,21:40:51
E00011494,U004314,P001290,view,02-01-24,21:43:45
E00072734,U001645,P000269,wishlist,02-01-24,21:53:00
E00061799,U005031,P001808,wishlist,02-01-24,22:29:59
E00022679,U007319,P000836,wishlist,02-01-24,22:50:29
E00062321,U002489,P000076,cart,02-01-24,23:11:25
E00045322,U004663,P001978,view,02-01-24,23:12:19
E00012552,U000188,P001894,view,02-01-24,23:12:39
E00051665,U000778,P001697,view,02-01-24,23:27:01
E00015706,U005150,P000321,view,02-01-24,23:33:47
E00034492,U005480,P001893,cart,02-01-24,23:49:28
E00058876,U004004,P001433,view,03-01-24,00:01:37
E00076701,U006727,P001573,view,03-01-24,00:06:00
E00017166,U001668,P000174,cart,03-01-24,00:17:07
E00046560,U002448,P000610,purchase,03-01-24,00:35:53
E00053345,U001561,P001153,view,03-01-24,00:37:19
E00028270,U008599,P001829,purchase,03-01-24,00:48:19
E00021348,U009292,P001591,wishlist,03-01-24,00:50:48
E00025402,U008673,P001668,view,03-01-24,01:11:27
E00058186,U005018,P000173,view,03-01-24,01:20:29
E00057758,U008798,P000442,view,03-01-24,02:15:27
E00058362,U005467,P001073,wishlist,03-01-24,02:26:43
E00039743,U005943,P001271,view,03-01-24,02:42:37
E00015659,U008551,P000932,wishlist,03-01-24,02:53:16
E00012533,U001058,P001041,view,03-01-24,03:04:38
E00061785,U005745,P001804,view,03-01-24,03:27:52
E00034169,U004502,P000828,view,03-01-24,03:52:59
E00076749,U001729,P001432,cart,03-01-24,04:04:15
E00003382,U000019,P000806,wishlist,03-01-24,04:05:13
E00000474,U007164,P000786,view,03-01-24,04:10:46
E00030005,U006894,P001782,wishlist,03-01-24,04:26:49
E00021431,U000111,P000996,view,03-01-24,04:45:05
E00066294,U009298,P001038,view,03-01-24,04:49:27
E00079089,U006472,P000715,cart,03-01-24,05:20:08
E00033343,U007216,P001536,view,03-01-24,05:25:59
E00041468,U006114,P001789,cart,03-01-24,05:31:23
E00040940,U000470,P000742,view,03-01-24,05:36:58
E00021282,U006431,P000187,view,03-01-24,05:54:22
E00062426,U004281,P001247,view,03-01-24,06:15:01
E00069057,U006346,P001218,cart,03-01-24,06:30:41
E00023668,U000228,P001808,purchase,03-01-24,06:47:13
E00042252,U002205,P000378,view,03-01-24,06:54:52
E00008793,U008637,P000082,view,03-01-24,07:07:33
E00017427,U001678,P001645,view,03-01-24,07:20:17
E00046291,U008472,P000454,view,03-01-24,07:21:08
E00027999,U000203,P000187,view,03-01-24,07:21:35
E00046189,U008238,P000334,view,03-01-24,07:26:14
E00033779,U003866,P001599,cart,03-01-24,07:26:49
E00013183,U007061,P001259,view,03-01-24,07:59:48
E00063333,U008311,P000923,view,03-01-24,08:12:36
E00017463,U008527,P000791,view,03-01-24,08:12:47
E00005938,U002166,P000881,view,03-01-24,08:33:14
E00077726,U007989,P000875,view,03-01-24,08:42:12
E00058465,U009878,P000536,view,03-01-24,08:44:07
E00045538,U001601,P001634,cart,03-01-24,08:49:07
E00008004,U008240,P000323,view,03-01-24,09:06:25
E00033378,U005177,P000284,view,03-01-24,09:07:22
E00048959,U009920,P001962,view,03-01-24,09:25:06
E00010346,U005058,P000106,view,03-01-24,09:38:05
E00025652,U007654,P000790,wishlist,03-01-24,10:15:55
E00023048,U001081,P000184,purchase,03-01-24,10:34:22
E00026740,U007356,P001261,cart,03-01-24,10:37:14
E00068673,U004921,P001075,view,03-01-24,10:41:11
E00038678,U004512,P000906,cart,03-01-24,10:55:52
E00053641,U009688,P001076,cart,03-01-24,11:21:00
E00028079,U007392,P001498,cart,03-01-24,11:22:56
E00024676,U006841,P000541,view,03-01-24,11:26:17
E00057774,U008129,P000086,view,03-01-24,11:28:15
E00073468,U007796,P001857,view,03-01-24,11:30:10
E00042195,U003041,P000155,view,03-01-24,11:31:53
E00024539,U007110,P001144,view,03-01-24,11:39:54
E00011268,U004374,P001956,view,03-01-24,11:43:29
E00006689,U003064,P000970,cart,03-01-24,11:51:19
E00053590,U003820,P001685,view,03-01-24,11:52:40
E00021018,U005537,P001737,view,03-01-24,11:56:31
E00006341,U005284,P001863,view,03-01-24,12:00:56
E00064685,U008338,P001066,wishlist,03-01-24,12:04:46
E00028843,U008953,P001055,view,03-01-24,12:05:57
E00004016,U009866,P000047,view,03-01-24,12:24:00
E00004303,U005219,P001627,cart,03-01-24,12:35:39
E00046627,U006837,P001194,view,03-01-24,12:36:44
E00017666,U000871,P000761,view,03-01-24,12:48:41
E00039710,U000402,P000420,view,03-01-24,12:55:45
E00035692,U005679,P001984,cart,03-01-24,13:02:26
E00041582,U007038,P001669,view,03-01-24,13:02:44
E00040058,U008453,P001588,view,03-01-24,13:19:07
E00053787,U001243,P000201,view,03-01-24,13:42:03
E00066203,U006323,P000525,wishlist,03-01-24,14:19:18
E00018407,U007289,P000525,view,03-01-24,14:53:27
E00008580,U006109,P000421,view,03-01-24,14:55:52
E00035874,U001617,P001876,view,03-01-24,15:12:48
E00023177,U006427,P001768,view,03-01-24,15:19:21
E00021823,U005301,P001309,view,03-01-24,15:27:14
E00058006,U000398,P000674,view,03-01-24,15:51:29
E00032017,U006765,P001333,view,03-01-24,15:55:38
E00020460,U004369,P000527,view,03-01-24,15:58:51
E00075550,U008416,P001175,view,03-01-24,16:16:10
E00049113,U000898,P000524,view,03-01-24,16:20:26
E00023471,U002613,P000637,view,03-01-24,16:27:17
E00077093,U007353,P000165,purchase,03-01-24,16:28:44
E00074886,U000819,P000545,purchase,03-01-24,16:33:43
E00024319,U006828,P001198,view,03-01-24,16:49:40
E00012463,U002848,P001328,view,03-01-24,16:58:47
E00034651,U000419,P000982,purchase,03-01-24,17:14:42
E00022231,U003771,P001682,view,03-01-24,17:18:24
E00014655,U002482,P000109,view,03-01-24,17:26:51
E00021600,U007138,P001660,view,03-01-24,17:35:36
E00064999,U003234,P000033,view,03-01-24,18:11:13
E00060726,U007600,P000542,view,03-01-24,18:13:01
E00017035,U002156,P000608,view,03-01-24,18:18:36
E00010498,U003056,P000726,view,03-01-24,18:35:25
E00027110,U008135,P001645,view,03-01-24,18:51:29
E00053509,U004351,P000969,view,03-01-24,19:03:48
E00032170,U009166,P001566,view,03-01-24,19:20:14
E00061821,U005793,P001862,view,03-01-24,19:37:05
E00020351,U001439,P000146,view,03-01-24,19:47:55
E00005795,U005629,P000303,cart,03-01-24,19:55:58
E00069585,U007725,P000157,view,03-01-24,19:56:30
E00011307,U002462,P000376,view,03-01-24,20:11:12
E00052771,U003510,P001155,view,03-01-24,20:53:33
E00070116,U001447,P001988,cart,03-01-24,21:30:32
E00014185,U002698,P001294,wishlist,03-01-24,21:50:35
E00046149,U001097,P000852,cart,03-01-24,22:09:03
E00047858,U006266,P000021,view,03-01-24,22:16:24
E00040239,U001905,P001802,view,03-01-24,22:18:54
E00023073,U009944,P001654,view,03-01-24,22:20:23
E00073644,U005776,P001165,view,03-01-24,22:20:52
E00077132,U001838,P001259,view,03-01-24,22:22:28
E00061119,U007974,P000593,view,03-01-24,22:28:26
E00023756,U004046,P000715,view,03-01-24,22:58:09
E00033916,U001967,P000425,purchase,03-01-24,23:01:22
E00041726,U005884,P000777,view,03-01-24,23:35:38
E00000916,U009612,P000475,view,03-01-24,23:46:53
E00010300,U006815,P000571,view,03-01-24,23:48:27
E00018185,U001371,P000819,view,03-01-24,23:59:38
E00061676,U009030,P000438,cart,04-01-24,00:03:03
E00010859,U007030,P000370,view,04-01-24,00:22:07
E00078240,U000427,P000031,wishlist,04-01-24,00:27:43
E00075772,U000703,P001820,wishlist,04-01-24,00:31:11
E00006433,U000805,P000645,wishlist,04-01-24,01:00:41
E00021084,U001164,P000149,cart,04-01-24,01:16:36
E00046319,U008756,P000250,view,04-01-24,01:29:53
E00079466,U004616,P000857,view,04-01-24,01:48:01
E00053168,U000978,P000365,purchase,04-01-24,01:49:05
E00054637,U007728,P001742,cart,04-01-24,01:53:29
E00016300,U002137,P001479,view,04-01-24,02:09:04
E00055210,U003511,P001077,view,04-01-24,02:43:49
E00028679,U004578,P000395,wishlist,04-01-24,03:06:44
E00037280,U005152,P000596,view,04-01-24,03:07:00
E00051270,U008350,P000790,view,04-01-24,03:34:52
E00059263,U003192,P001847,view,04-01-24,03:50:14
E00037090,U006659,P000973,view,04-01-24,04:02:31
E00010132,U009083,P001038,cart,04-01-24,04:12:59
E00050319,U006063,P000757,view,04-01-24,04:19:15
E00011919,U002651,P001098,view,04-01-24,04:24:38
E00036116,U004275,P001596,view,04-01-24,04:27:53
E00039690,U001875,P001988,purchase,04-01-24,05:03:44
E00027528,U004113,P000084,wishlist,04-01-24,05:17:08
E00033402,U003981,P000674,view,04-01-24,05:20:11
E00056300,U001708,P000625,wishlist,04-01-24,05:30:33
E00071924,U005548,P001482,view,04-01-24,05:40:54
E00007135,U005859,P000810,view,04-01-24,05:58:17
E00054703,U003510,P000995,view,04-01-24,06:02:45
E00003848,U003511,P000231,view,04-01-24,06:08:05
E00009063,U001120,P000735,view,04-01-24,06:14:18
E00067583,U000013,P000336,view,04-01-24,06:28:31
E00078586,U006553,P001618,view,04-01-24,06:42:19
E00012947,U008986,P001891,view,04-01-24,06:44:16
E00010325,U006579,P001969,view,04-01-24,06:46:29
E00038166,U008916,P001806,cart,04-01-24,07:24:52
E00008661,U002061,P000597,wishlist,04-01-24,07:28:42
E00079159,U001138,P000152,cart,04-01-24,07:34:04
E00019417,U005709,P001000,view,04-01-24,07:47:25
E00007768,U007806,P000044,view,04-01-24,07:50:24
E00074174,U009488,P000440,view,04-01-24,08:02:24
E00069517,U004263,P001105,view,04-01-24,08:05:22
E00050535,U002584,P001610,view,04-01-24,08:12:50
E00068458,U003877,P000297,view,04-01-24,08:21:15
E00076340,U000870,P000176,purchase,04-01-24,08:24:20
E00013084,U004665,P001848,view,04-01-24,08:24:58
E00055907,U009946,P001004,view,04-01-24,08:37:38
E00038933,U004696,P001419,purchase,04-01-24,08:44:29
E00034355,U003653,P001721,view,04-01-24,08:58:54
E00017649,U005313,P001558,view,04-01-24,08:59:54
E00039560,U003708,P001544,cart,04-01-24,09:18:07
E00040973,U003558,P000317,view,04-01-24,09:24:41
E00011379,U005627,P001325,cart,04-01-24,09:44:16
E00016275,U006738,P000122,view,04-01-24,09:51:28
E00041188,U005213,P001236,view,04-01-24,09:56:13
E00071356,U006526,P001896,view,04-01-24,10:20:12
E00070924,U009807,P001261,view,04-01-24,10:22:22
E00041814,U004566,P001422,view,04-01-24,10:31:59
E00010625,U008169,P000561,view,04-01-24,10:34:45
E00035165,U007819,P001815,view,04-01-24,10:46:26
E00008122,U003879,P000420,view,04-01-24,10:52:24
E00073143,U004007,P001735,view,04-01-24,11:02:36
E00066298,U009126,P000578,purchase,04-01-24,11:03:59
E00062258,U007504,P000459,view,04-01-24,11:20:58
E00047272,U001394,P001965,cart,04-01-24,11:49:45
E00041490,U003100,P000922,view,04-01-24,11:52:14
E00075384,U008948,P000272,view,04-01-24,12:01:05
E00020613,U009387,P001961,purchase,04-01-24,12:01:59
E00063576,U004902,P001371,view,04-01-24,12:02:15
E00021160,U001233,P000690,view,04-01-24,12:24:05
E00017207,U008411,P000857,view,04-01-24,12:25:43
E00079508,U005484,P000983,cart,04-01-24,12:35:23
E00044356,U001209,P000805,view,04-01-24,12:37:43
E00059791,U007024,P001182,view,04-01-24,12:46:53
E00029969,U003942,P000861,cart,04-01-24,12:49:06
E00074937,U009307,P000346,view,04-01-24,12:58:21
E00040884,U007731,P001526,view,04-01-24,13:41:26
E00030860,U008920,P001253,wishlist,04-01-24,13:45:08
E00010340,U009647,P001787,view,04-01-24,13:52:42
E00013851,U001892,P000339,view,04-01-24,14:15:54
E00014569,U005916,P000050,view,04-01-24,14:20:15
E00046251,U006368,P000291,cart,04-01-24,14:21:03
E00006042,U008485,P000543,cart,04-01-24,14:39:37
E00009406,U006113,P001932,view,04-01-24,14:50:24
E00015841,U003677,P000818,cart,04-01-24,14:52:39
E00019260,U000497,P000397,view,04-01-24,15:20:11
E00012384,U000070,P000833,purchase,04-01-24,15:57:43
E00063688,U009481,P000568,view,04-01-24,15:59:06
E00043997,U001237,P001720,view,04-01-24,16:44:00
E00036859,U006809,P001009,cart,04-01-24,16:44:42
E00069395,U001493,P000988,view,04-01-24,16:58:11
E00051200,U005117,P001376,view,04-01-24,17:04:55
E00058386,U008244,P000984,cart,04-01-24,17:56:52
E00002585,U004998,P000069,view,04-01-24,18:05:38
E00059510,U005017,P000830,view,04-01-24,18:16:43
E00020105,U006874,P000189,view,04-01-24,18:57:38
E00023565,U001698,P000931,view,04-01-24,19:00:55
E00064524,U004811,P001969,view,04-01-24,19:36:24
E00026592,U008965,P001453,wishlist,04-01-24,19:40:19
E00065562,U000342,P001996,view,04-01-24,19:40:20
E00076753,U009623,P000186,view,04-01-24,19:46:45
E00031514,U001848,P000120,purchase,04-01-24,19:48:51
E00075377,U003146,P001859,view,04-01-24,19:50:08
E00041204,U007162,P000603,view,04-01-24,19:50:53
E00057628,U002990,P000177,wishlist,04-01-24,20:48:48
E00057793,U008978,P001118,view,04-01-24,20:48:52
E00031911,U002831,P001753,view,04-01-24,21:00:18
E00055162,U007128,P001777,view,04-01-24,21:18:19
E00053680,U006220,P000809,view,04-01-24,22:11:11
E00015164,U001491,P000836,view,04-01-24,22:18:04
E00012940,U006149,P000988,cart,04-01-24,22:22:58
E00021361,U007665,P001987,view,04-01-24,22:37:34
E00015004,U002491,P000422,view,04-01-24,22:39:17
E00021358,U006628,P000659,view,04-01-24,22:41:02
E00038777,U007679,P000794,wishlist,04-01-24,22:58:21
E00048778,U005928,P000511,view,04-01-24,23:07:04
E00068253,U005151,P001475,view,04-01-24,23:14:53
E00061450,U005691,P000817,view,04-01-24,23:16:48
E00057018,U005460,P001865,cart,04-01-24,23:17:04
E00041656,U004024,P000564,view,04-01-24,23:49:10
E00016563,U005748,P000135,wishlist,04-01-24,23:56:36
E00000936,U002016,P001372,view,05-01-24,00:04:03
E00064027,U009554,P001057,view,05-01-24,00:17:54
E00026489,U005556,P000124,view,05-01-24,00:26:46
E00026241,U008252,P000215,view,05-01-24,00:34:13
E00071345,U003127,P000743,cart,05-01-24,00:42:21
E00033201,U006470,P001126,view,05-01-24,01:11:14
E00048966,U009199,P000317,view,05-01-24,01:27:39
E00012594,U006325,P001717,view,05-01-24,01:32:59
E00071585,U005444,P000897,view,05-01-24,01:43:41
E00020229,U009952,P001639,view,05-01-24,01:54:51
E00072370,U006353,P000740,view,05-01-24,01:59:16
E00002011,U007121,P001724,cart,05-01-24,02:03:15
E00000094,U002509,P001875,cart,05-01-24,02:17:33
E00047116,U004957,P000745,view,05-01-24,02:42:44
E00016143,U003985,P000049,view,05-01-24,02:45:38
E00071542,U003073,P000608,view,05-01-24,02:47:50
E00020819,U003321,P000967,wishlist,05-01-24,02:49:55
E00046398,U003780,P000652,cart,05-01-24,02:55:25
E00026450,U009973,P000793,view,05-01-24,02:56:07
E00057059,U006812,P000029,wishlist,05-01-24,02:58:10
E00019408,U006226,P000071,wishlist,05-01-24,03:06:24
E00009707,U004029,P000132,view,05-01-24,03:08:54
E00035866,U003704,P001218,view,05-01-24,03:21:28
E00024936,U004433,P000060,view,05-01-24,03:29:58
E00071706,U006650,P001082,view,05-01-24,03:44:45
E00029136,U003806,P000170,wishlist,05-01-24,03:46:10
E00074489,U007895,P001766,view,05-01-24,03:46:41
E00026733,U009354,P001012,purchase,05-01-24,03:49:14
E00042566,U000006,P000503,view,05-01-24,03:57:31
E00021034,U006107,P001953,purchase,05-01-24,04:19:48
E00047822,U009982,P000454,view,05-01-24,04:20:21
E00003104,U003512,P001505,wishlist,05-01-24,04:20:52
E00031126,U005737,P000432,view,05-01-24,04:33:08
E00043792,U005784,P000477,view,05-01-24,04:34:43
