order_id,user_id,order_date,order_time,total_amount
O00010435,U009746,07-10-2025,20:02:17,5091.84
O00016299,U007043,26-06-2025,13:27:16,5053.45
O00007402,U000761,11-09-2024,14:32:05,5048.86
O00005864,U000691,06-04-2024,18:07:23,5044.77
O00015329,U009931,06-07-2025,13:14:06,5035.42
O00006919,U004539,14-07-2024,22:20:29,5002.49
O00000162,U003794,16-10-2025,06:33:38,4995.83
O00013053,U000737,12-08-2024,02:58:10,4994.42
O00013174,U002651,27-04-2025,07:48:20,4978.39
O00000031,U007162,19-11-2024,07:31:44,4942.06
O00010414,U006802,04-01-2025,22:11:53,4921.97
O00002715,U009395,30-09-2024,04:23:06,4918.02
O00016374,U005486,24-02-2024,14:45:27,4909.21
O00013142,U008080,09-11-2025,17:59:37,4879.42
O00010401,U000999,09-07-2025,09:50:25,4862.16
O00006453,U005746,17-04-2025,11:41:10,4857.37
O00001790,U001843,05-11-2025,03:42:48,4850.64
O00014198,U006206,16-05-2025,04:52:07,4826.25
O00012535,U000157,26-04-2024,11:28:11,4813.35
O00017121,U007567,08-11-2025,03:36:18,4804.48
O00012400,U000386,10-11-2025,18:29:40,4799.94
O00014558,U007712,26-08-2024,12:12:26,4799.94
O00009623,U004530,23-08-2024,03:21:50,4789.02
O00019407,U001936,19-07-2024,18:26:35,4784.12
O00007255,U001983,18-08-2025,12:51:11,4783.84
O00001159,U001963,09-04-2024,19:20:43,4748.95
O00002537,U008970,27-03-2024,13:37:27,4734.87
O00005178,U007204,21-06-2024,09:51:01,4700.56
O00012387,U007031,05-10-2025,03:01:12,4675.70
O00011453,U000860,21-01-2024,00:50:07,4636.09
O00006078,U008141,12-10-2024,00:27:02,4631.86
O00016979,U002381,25-06-2025,18:19:41,4619.11
O00008438,U006367,01-01-2024,07:42:49,4585.26
O00008323,U008245,12-06-2024,06:52:33,4573.76
O00006524,U002424,30-05-2025,01:53:34,4555.10
O00000423,U001646,23-10-2025,23:42:26,4528.73
O00010840,U006844,30-09-2025,20:09:41,4513.75
O00009939,U006311,19-04-2025,18:39:16,4460.94
O00005077,U004459,06-03-2024,15:28:22,4441.96
O00009590,U004114,23-07-2025,09:13:28,4441.39
O00015635,U000206,05-01-2024,17:36:02,4436.59
O00006804,U006946,02-04-2024,09:52:42,4431.11
O00017415,U000524,13-12-2024,14:04:03,4430.15
O00001506,U007793,09-06-2024,16:40:32,4378.03
O00001781,U003821,27-01-2025,09:15:27,4377.85
O00006850,U002358,14-12-2024,05:03:12,4359.57
O00009981,U005918,13-10-2024,13:28:19,4354.04
O00011882,U009112,09-02-2024,22:56:41,4347.07
O00008096,U002848,30-05-2024,21:57:23,4339.96
O00008887,U004597,17-01-2024,14:41:39,4333.38
O00017428,U003816,07-05-2025,09:41:36,4331.22
O00003793,U006208,29-09-2024,14:16:04,4322.67
O00007326,U006663,07-09-2024,04:23:06,4315.17
O00005806,U004646,02-04-2024,12:11:08,4314.32
O00013141,U009157,16-07-2024,22:24:01,4311.05
O00018091,U003196,02-09-2024,03:34:14,4297.70
O00004485,U004214,11-05-2024,02:30:36,4284.49
O00005274,U000778,17-02-2025,19:28:23,4283.43
O00006095,U004575,20-10-2025,20:59:55,4279.03
O00010792,U009731,25-07-2025,19:39:37,4270.41
O00009702,U007160,04-07-2024,21:06:07,4267.56
O00002418,U007230,27-05-2025,21:48:37,4264.37
O00000588,U002165,02-04-2025,08:00:07,4251.38
O00016417,U004271,18-08-2024,07:06:16,4240.23
O00002771,U007569,30-04-2024,04:00:57,4231.46
O00009272,U008380,16-05-2025,20:52:33,4221.43
O00009903,U000924,15-05-2025,01:18:02,4216.53
O00003988,U000531,21-08-2024,07:29:23,4212.90
O00004498,U006863,20-02-2024,06:23:38,4208.04
O00011621,U005571,29-07-2024,18:48:10,4177.50
O00014749,U002710,27-05-2024,19:44:35,4169.93
O00019320,U006569,09-08-2024,02:43:33,4161.81
O00015481,U006871,17-09-2024,14:45:22,4158.91
O00014688,U000922,11-09-2024,07:03:50,4147.31
O00013033,U004906,05-12-2024,22:02:42,4143.52
O00019460,U003943,06-07-2025,16:10:33,4140.78
O00019537,U002508,02-11-2025,21:54:50,4140.43
O00010694,U005577,16-04-2024,21:35:14,4123.50
O00000206,U008405,21-11-2024,01:44:31,4116.65
O00013215,U009127,08-02-2024,03:37:32,4115.10
O00003829,U009150,20-09-2025,01:53:30,4114.18
O00004092,U008293,07-11-2025,09:57:35,4110.41
O00011450,U006295,15-08-2024,11:20:36,4106.99
O00003360,U005240,09-03-2024,07:19:55,4103.49
O00007220,U006124,16-11-2024,14:44:58,4092.12
O00006381,U009352,28-07-2024,12:02:54,4090.19
O00015795,U001818,13-06-2024,20:56:57,4086.07
O00004190,U008507,24-10-2025,15:17:10,4075.80
O00009427,U006005,17-08-2025,03:03:34,4071.32
O00015611,U000032,16-08-2024,18:52:57,4070.84
O00000498,U001990,29-12-2024,03:17:14,4068.17
O00008084,U007950,11-05-2025,13:04:44,4067.69
O00016206,U006704,07-04-2025,13:23:07,4064.62
O00016159,U001125,18-11-2024,16:16:54,4052.34
O00005841,U007639,18-01-2025,22:22:48,4048.39
O00004726,U000155,03-08-2024,15:21:03,4047.79
O00000995,U003307,05-04-2024,14:31:50,4043.84
O00010748,U005576,22-03-2025,13:18:41,4042.37
O00012054,U009326,17-02-2025,00:28:18,4036.64
O00007910,U001972,27-09-2024,15:40:02,4031.74
O00001526,U008825,29-02-2024,23:22:09,4031.23
O00011602,U007204,21-06-2025,14:30:43,4028.21
O00014715,U008370,26-04-2025,04:35:57,4023.22
O00002394,U004942,24-02-2025,01:14:31,4022.28
O00013695,U003637,25-08-2024,09:07:52,4022.23
O00010131,U001372,29-08-2024,03:59:41,4019.32
O00001425,U000731,13-02-2024,15:10:31,4015.79
O00015769,U004881,28-09-2025,07:44:27,4015.59
O00001246,U003289,21-08-2024,17:39:40,4008.22
O00015175,U000389,14-11-2025,14:24:35,3993.63
O00015120,U004002,22-09-2024,23:14:46,3980.02
O00013205,U000127,07-02-2024,19:42:35,3975.71
O00010385,U005897,03-08-2025,06:07:52,3968.58
O00014645,U003814,17-11-2024,23:27:26,3954.50
O00013698,U002662,17-06-2024,22:58:24,3949.42
O00008966,U000546,02-04-2024,04:30:29,3943.12
O00002060,U000600,28-01-2024,11:58:54,3941.36
O00019116,U005273,09-10-2025,14:21:21,3938.88
O00001333,U006233,09-07-2024,03:40:44,3937.02
O00015997,U004906,31-05-2025,04:10:17,3936.98
O00016549,U006907,11-12-2024,10:37:46,3935.52
O00009407,U009018,12-01-2024,09:36:54,3933.71
O00006574,U009903,03-02-2025,23:30:13,3932.97
O00006059,U001483,06-10-2024,06:28:41,3932.55
O00010281,U001332,02-01-2025,13:20:05,3930.41
O00000272,U005269,04-05-2024,17:33:24,3930.26
O00009630,U001854,04-03-2025,21:19:22,3923.66
O00000289,U009034,15-02-2024,06:42:03,3917.14
O00010005,U006092,05-12-2024,10:39:39,3915.18
O00015388,U008079,16-09-2024,21:36:40,3913.83
O00010655,U005568,12-10-2024,00:20:43,3896.10
O00008777,U003723,09-11-2025,11:02:11,3895.50
O00018415,U009681,23-04-2025,03:45:49,3893.18
O00001087,U007901,21-02-2025,21:12:40,3890.26
O00013333,U002533,21-05-2024,23:39:04,3889.33
O00013290,U000280,14-08-2024,14:18:10,3888.36
O00015306,U002247,08-11-2024,19:12:36,3886.70
O00006169,U003905,21-04-2024,04:53:14,3870.60
O00019417,U005280,06-12-2024,09:35:09,3868.84
O00009741,U004129,31-05-2025,22:02:23,3867.93
O00003032,U004135,20-04-2024,22:09:26,3863.85
O00003614,U001935,26-05-2024,06:50:49,3861.06
O00009680,U009172,04-06-2024,04:59:34,3857.34
O00008139,U007854,21-06-2025,09:28:44,3850.16
O00019553,U005039,21-05-2025,06:08:56,3844.33
O00006889,U006469,09-03-2024,00:12:57,3841.84
O00004343,U000399,22-03-2024,22:50:04,3838.12
O00015999,U007583,20-07-2024,00:21:04,3812.43
O00016866,U000792,12-06-2024,09:58:19,3809.48
O00003280,U006991,01-01-2025,08:34:09,3808.46
O00012336,U006596,06-01-2024,09:42:31,3806.33
O00007878,U001453,13-04-2025,08:21:36,3805.27
O00019787,U008212,10-10-2025,11:06:52,3803.31
O00006723,U005738,15-08-2024,23:19:27,3801.45
O00006555,U007458,01-03-2024,21:47:21,3800.70
O00018513,U005082,22-11-2024,07:14:31,3790.04
O00001651,U000035,05-08-2024,09:46:35,3787.12
O00009464,U001998,13-01-2024,02:54:25,3772.56
O00016386,U003799,16-02-2024,20:34:27,3771.26
O00012318,U006864,16-10-2025,09:07:28,3765.65
O00001277,U005226,03-03-2024,20:01:45,3759.72
O00001838,U007561,16-04-2024,16:53:25,3759.40
O00017134,U006318,27-05-2025,06:37:13,3755.22
O00012931,U003206,19-11-2024,01:10:38,3753.90
O00006011,U003929,13-06-2024,10:46:37,3746.19
O00018157,U007069,02-02-2024,17:56:20,3742.27
O00016931,U009950,02-04-2025,00:25:32,3741.99
O00002102,U008770,23-02-2024,12:54:35,3724.27
O00006497,U009990,18-05-2025,16:35:48,3716.79
O00000370,U003571,04-03-2024,18:29:12,3716.40
O00001281,U002441,05-06-2025,03:21:06,3703.81
O00019802,U003882,03-02-2025,13:00:28,3700.80
O00008059,U006097,17-12-2024,15:47:04,3700.06
O00019249,U000758,24-07-2024,05:40:56,3688.78
O00010813,U005151,28-08-2024,22:00:02,3677.89
O00013859,U003610,19-07-2025,05:38:23,3677.37
O00015025,U008774,25-09-2025,05:04:09,3670.64
O00013529,U008134,01-12-2024,06:17:10,3665.37
O00016629,U001025,03-07-2025,13:19:07,3660.22
O00016532,U001842,13-04-2024,01:48:26,3651.65
O00008536,U007046,08-06-2024,23:07:54,3631.32
O00002650,U000829,05-07-2025,22:05:04,3626.14
O00007633,U001168,17-09-2024,11:35:52,3618.88
O00011094,U006381,30-03-2025,23:17:51,3615.30
O00006113,U000245,05-07-2025,21:54:19,3613.40
O00008467,U007483,10-10-2025,22:02:44,3611.16
O00017278,U004692,11-02-2024,16:45:59,3607.00
O00011083,U002352,14-05-2024,08:10:05,3604.90
O00012863,U007358,21-07-2025,08:36:55,3601.30
O00017950,U004941,17-10-2024,01:10:33,3598.59
O00019899,U003778,27-04-2024,04:03:40,3596.17
O00010300,U009634,31-07-2024,01:46:25,3595.10
O00012581,U005098,08-08-2024,12:26:02,3593.95
O00019825,U005156,23-07-2024,11:54:10,3591.01
O00000204,U004810,11-05-2025,07:07:03,3590.85
O00000489,U008490,11-10-2025,23:59:21,3584.82
O00006633,U003198,09-10-2024,02:17:22,3584.82
O00008841,U009470,05-01-2025,16:39:28,3573.83
O00003860,U009149,15-10-2025,07:26:27,3572.60
O00000626,U001359,05-01-2025,14:28:39,3555.56
O00003416,U000004,10-09-2025,10:48:40,3554.99
O00013469,U002233,22-04-2024,13:12:08,3553.06
O00018785,U001465,26-10-2025,09:00:58,3552.96
O00018040,U001139,17-05-2024,06:25:51,3549.91
O00007853,U000456,10-06-2025,10:19:52,3547.33
O00007193,U004487,18-11-2024,07:21:38,3542.54
O00013634,U008883,20-06-2025,19:59:03,3529.45
O00006752,U001763,06-06-2024,18:48:29,3528.00
O00012265,U003458,01-02-2025,10:41:56,3527.91
O00007618,U008635,20-10-2025,05:21:01,3525.02
O00013657,U003335,18-06-2025,12:33:51,3522.84
O00006571,U008830,20-09-2025,10:20:26,3522.00
O00018766,U002972,08-11-2025,16:28:00,3513.16
O00017401,U007578,10-02-2025,12:09:07,3503.10
O00009790,U006666,24-01-2025,06:13:14,3500.02
O00013546,U005987,17-02-2024,17:51:28,3499.63
O00005724,U002221,13-06-2025,01:21:50,3497.84
O00003674,U001648,06-06-2024,02:54:55,3493.50
O00005440,U005412,20-06-2024,18:36:49,3493.14
O00004014,U009190,01-06-2025,14:49:31,3488.54
O00013652,U004903,04-08-2025,23:59:03,3487.22
O00016993,U001973,28-09-2024,08:56:59,3486.19
O00013097,U002012,15-02-2025,10:42:22,3475.97
O00017090,U006093,24-10-2025,06:55:35,3474.44
O00004878,U003598,26-01-2024,04:27:34,3464.19
O00004672,U008033,30-11-2024,04:44:22,3448.55
O00003013,U007303,03-12-2024,22:44:44,3447.86
O00005081,U008917,29-01-2024,01:43:38,3441.37
O00012220,U005153,31-07-2024,16:30:24,3441.20
O00010048,U007875,02-10-2024,21:55:50,3438.14
O00015282,U008037,13-01-2025,05:06:20,3437.44
O00012907,U000070,18-09-2024,14:52:35,3434.29
O00019432,U000188,21-02-2024,22:00:57,3421.12
O00019646,U001687,27-07-2025,06:31:45,3418.84
O00009080,U009718,01-03-2025,12:49:31,3417.82
O00001865,U005766,16-01-2025,12:39:32,3416.40
O00005271,U005450,03-08-2024,18:34:52,3411.50
O00002585,U001650,06-06-2024,13:58:46,3404.65
O00003519,U004594,25-02-2025,23:48:42,3400.08
O00012826,U003247,06-04-2024,08:17:18,3397.59
O00000669,U003718,03-08-2024,03:25:53,3395.70
O00000731,U004978,09-07-2025,09:35:10,3394.24
O00011854,U006383,21-10-2025,04:05:57,3393.68
O00008332,U000416,05-04-2025,02:40:25,3388.85
O00000935,U001533,06-10-2024,22:49:31,3388.79
O00001034,U005256,06-06-2024,07:28:30,3385.66
O00001169,U009884,14-07-2024,18:09:23,3383.76
O00000564,U000771,29-04-2025,06:09:15,3382.41
O00005528,U002743,20-02-2024,20:38:29,3375.17
O00001443,U002977,24-12-2024,09:54:00,3371.87
O00012404,U004567,01-05-2025,01:36:08,3371.57
O00013774,U005805,05-08-2025,00:50:54,3368.72
O00019962,U002222,22-09-2025,03:14:44,3353.35
O00019854,U009218,19-08-2024,17:29:21,3352.70
O00001409,U004268,07-11-2025,16:34:30,3350.65
O00003769,U004428,24-07-2024,13:39:59,3350.46
O00007570,U002142,09-09-2024,21:17:13,3350.08
O00016754,U000044,05-06-2025,13:45:47,3346.02
O00013770,U004345,08-02-2025,03:26:28,3330.56
O00019086,U008744,24-08-2024,23:15:32,3326.24
O00013719,U006751,09-01-2024,08:35:43,3317.72
O00000894,U009903,19-08-2025,08:32:42,3316.87
O00019624,U006341,11-09-2025,14:49:02,3316.35
O00002574,U002184,28-02-2025,20:48:33,3313.67
O00012331,U006221,10-09-2024,20:33:13,3312.03
O00010561,U000136,28-04-2024,00:33:46,3310.83
O00015567,U006168,27-09-2025,04:41:53,3308.02
O00019504,U008913,06-07-2025,20:03:29,3305.94
O00016153,U004080,26-05-2025,05:33:51,3298.70
O00000674,U006504,17-05-2025,11:46:10,3296.56
O00015458,U007548,28-04-2024,18:06:53,3295.90
O00005849,U000482,07-08-2024,01:39:14,3295.55
O00018149,U006049,25-10-2024,15:22:27,3292.89
O00014579,U004842,25-01-2025,05:47:10,3287.02
O00001058,U004670,21-09-2024,00:24:49,3283.60
O00014674,U001294,07-09-2024,07:30:34,3275.04
O00015523,U006629,07-06-2025,15:49:50,3274.34
O00019387,U000675,04-10-2025,17:18:40,3268.38
O00008314,U005913,18-07-2025,06:09:30,3267.20
O00011758,U002198,09-11-2025,12:21:47,3261.32
O00004136,U009896,17-12-2024,13:03:05,3254.37
O00013874,U008142,14-03-2025,06:32:06,3249.14
O00005830,U003902,18-02-2025,00:38:24,3249.06
O00011019,U005287,20-03-2025,01:54:56,3245.40
O00002811,U008784,02-11-2025,06:58:37,3237.12
O00003210,U009313,11-08-2024,03:13:02,3236.70
O00007196,U002589,16-07-2025,11:39:34,3232.29
O00001414,U001219,04-10-2025,06:04:05,3227.90
O00011572,U005959,16-06-2024,19:39:44,3226.11
O00010876,U006072,30-01-2024,22:42:49,3220.86
O00019123,U008704,18-02-2024,23:31:33,3219.65
O00017109,U000004,18-06-2025,04:30:01,3218.25
O00015898,U001599,17-02-2025,03:43:29,3218.19
O00008401,U000785,04-08-2025,15:19:35,3211.69
O00003339,U006611,22-04-2025,10:33:36,3207.86
O00012148,U007282,05-01-2024,16:04:23,3202.55
O00013663,U007095,15-06-2025,11:48:11,3199.96
O00004007,U006992,14-03-2025,05:53:57,3199.14
O00018158,U002935,14-11-2024,06:30:20,3198.80
O00004486,U001916,15-12-2024,05:23:16,3197.72
O00019205,U009967,05-09-2025,01:01:54,3194.27
O00007855,U007399,06-12-2024,02:37:19,3187.18
O00014194,U003521,06-08-2024,20:57:53,3184.58
O00019056,U003562,14-12-2024,11:47:16,3183.46
O00013785,U008995,04-02-2025,12:31:46,3169.33
O00004147,U001916,23-04-2025,14:47:57,3167.44
O00014407,U009511,31-05-2025,14:03:24,3164.15
O00002337,U009566,13-02-2024,04:02:46,3158.22
O00015827,U004635,24-06-2024,11:17:19,3154.50
O00000591,U007587,13-05-2025,17:38:25,3154.41
O00012730,U001799,04-06-2025,20:58:01,3152.30
O00018104,U006835,30-07-2024,08:46:03,3152.23
O00011378,U004431,30-07-2024,05:05:38,3151.22
O00000511,U001525,27-02-2025,12:20:54,3150.71
O00009415,U004336,11-04-2024,19:50:14,3147.76
O00012114,U005745,12-05-2024,21:06:23,3145.64
O00016177,U001082,01-07-2024,01:43:40,3144.71
O00005456,U008465,09-09-2024,16:07:24,3140.88
O00010262,U003841,15-12-2024,14:46:44,3130.18
O00006421,U006073,05-11-2024,04:47:30,3129.71
O00008093,U009220,10-03-2024,00:38:06,3127.96
O00005369,U007682,02-02-2024,21:22:23,3121.84
O00008374,U007166,30-12-2024,19:09:52,3121.09
O00002230,U003011,19-04-2025,04:40:21,3116.49
O00001440,U000993,22-04-2025,00:57:45,3113.10
O00006627,U003235,26-01-2025,13:19:37,3112.56
O00014999,U009945,30-09-2024,06:25:21,3111.97
O00011376,U003531,04-05-2024,08:19:19,3109.92
O00019316,U007881,05-11-2025,10:28:39,3107.28
O00001025,U003411,25-05-2024,16:24:51,3106.22
O00001294,U009854,04-12-2024,12:03:52,3105.54
O00004507,U000291,09-12-2024,01:30:32,3103.96
O00008770,U006744,02-04-2024,15:27:24,3097.79
O00012207,U001055,10-07-2025,13:35:24,3097.17
O00014824,U002398,02-03-2024,12:55:01,3096.09
O00011622,U004782,22-07-2025,19:40:35,3090.20
O00019736,U003252,13-03-2025,18:30:21,3090.16
O00009963,U008661,09-07-2024,16:57:33,3087.33
O00015045,U007484,02-03-2024,17:33:19,3086.64
O00011648,U007286,26-10-2024,06:20:40,3083.37
O00010043,U005163,04-01-2024,18:35:04,3078.25
O00008162,U006999,21-03-2024,03:41:09,3075.93
O00006646,U004947,25-08-2024,14:22:25,3075.53
O00003595,U005303,10-07-2025,15:05:11,3073.26
O00002417,U004030,04-06-2024,03:08:09,3072.82
O00004751,U003663,20-12-2024,10:23:34,3069.83
O00016775,U000410,04-03-2025,04:37:40,3066.77
O00012526,U006864,15-02-2024,01:11:34,3066.68
O00017666,U004531,06-08-2024,14:00:07,3065.95
O00013039,U006516,08-03-2024,11:48:12,3064.32
O00011313,U005365,26-07-2024,23:22:22,3060.97
O00008371,U007167,21-04-2024,03:02:57,3059.58
O00002597,U009889,17-10-2025,15:59:54,3058.66
O00001461,U009347,23-02-2025,15:13:54,3053.51
O00015368,U000146,05-05-2024,21:48:50,3052.82
O00002700,U008309,02-04-2024,17:42:21,3051.51
O00013841,U000611,21-02-2025,12:58:18,3051.20
O00012325,U009048,05-06-2024,11:36:21,3049.78
O00008513,U002553,02-05-2024,15:21:41,3042.60
O00018829,U001020,21-03-2025,04:36:56,3039.41
O00005387,U001887,29-11-2024,11:39:47,3038.98
O00016271,U005806,07-07-2024,23:43:19,3037.86
O00009052,U005715,26-02-2025,22:17:48,3035.13
O00019876,U003089,08-01-2024,14:40:02,3035.13
O00016673,U007387,21-02-2025,19:12:55,3035.10
O00000632,U008268,18-09-2024,09:48:13,3031.33
O00014525,U004659,09-01-2025,18:59:49,3030.95
O00009738,U000261,10-03-2025,00:45:28,3030.53
O00010763,U009310,22-05-2025,15:47:11,3029.48
O00000943,U000374,26-05-2025,13:53:44,3023.06
O00013981,U003116,25-10-2024,03:06:04,3022.26
O00014874,U006888,06-07-2024,14:17:15,3022.22
O00014928,U007430,08-11-2025,03:22:29,3017.25
O00000675,U000323,14-01-2025,01:12:37,3007.35
O00008705,U004627,03-11-2025,08:21:34,3006.20
O00017745,U002022,02-01-2025,23:00:41,3005.01
O00005650,U002495,07-03-2024,07:25:19,3004.54
O00017987,U000085,13-03-2024,03:12:03,3003.15
O00018013,U007207,14-10-2025,06:00:57,2990.38
O00017256,U003686,19-10-2024,18:05:54,2989.27
O00010670,U001420,05-10-2025,14:27:35,2988.09
O00009126,U008870,08-05-2024,11:50:46,2987.87
O00007996,U002756,25-05-2025,03:07:56,2985.27
O00006566,U008661,28-11-2024,11:56:27,2985.24
O00006151,U001081,18-09-2025,00:55:54,2984.62
O00013864,U002365,20-11-2024,06:24:27,2980.46
O00011469,U004175,29-08-2024,08:12:08,2979.41
O00009995,U007041,11-07-2024,10:13:25,2976.70
O00005776,U006673,03-02-2024,21:49:57,2975.45
O00008694,U005825,16-07-2025,14:35:13,2973.01
O00013720,U006555,02-10-2025,17:43:07,2968.76
O00003135,U001688,12-04-2024,20:40:58,2966.90
O00007028,U001900,12-09-2024,00:11:20,2965.98
O00006087,U001739,24-06-2025,08:43:28,2963.85
O00012261,U005891,01-10-2024,03:05:35,2963.59
O00006002,U008902,09-01-2024,10:30:10,2962.65
O00012014,U003090,24-01-2025,18:52:06,2960.66
O00008600,U004807,08-11-2024,06:48:52,2958.01
O00018363,U002768,15-02-2024,14:30:16,2956.78
O00002263,U008355,14-07-2024,10:07:09,2956.05
O00014882,U008420,10-08-2024,13:48:19,2956.05
O00005342,U000649,03-07-2025,17:48:44,2954.90
O00017575,U004226,17-05-2024,20:57:50,2954.90
O00004424,U006269,27-03-2025,14:45:58,2954.49
O00002396,U002362,16-01-2024,13:37:40,2954.41
O00013610,U009873,28-09-2024,19:25:35,2951.72
O00009833,U000844,07-05-2025,19:33:12,2951.22
O00001864,U004670,19-06-2024,13:44:28,2949.02
O00016031,U004573,22-02-2024,07:07:40,2946.30
O00007247,U008785,02-03-2025,16:06:17,2945.45
O00009298,U006328,10-02-2024,08:21:29,2943.73
O00013669,U003275,21-05-2024,08:23:55,2941.96
O00012021,U003316,14-02-2024,10:11:26,2941.57
O00010791,U009632,26-10-2024,11:11:36,2939.45
O00014314,U002861,30-12-2024,12:37:59,2939.33
O00011564,U009779,08-03-2024,11:16:23,2934.17
O00001240,U002369,12-11-2024,09:35:45,2932.83
O00014075,U000932,29-10-2025,05:17:28,2927.65
O00010914,U005461,30-10-2024,01:36:55,2927.15
O00008803,U004390,11-03-2024,17:25:51,2926.52
O00003064,U004378,09-12-2024,09:18:03,2924.22
O00013804,U003044,28-06-2024,08:46:31,2923.12
O00012657,U001081,29-04-2024,12:44:56,2922.92
O00016845,U007839,12-01-2025,01:21:35,2922.48
O00001880,U004788,18-04-2025,21:46:49,2921.39
O00014996,U006590,25-09-2025,11:21:05,2920.93
O00009344,U009910,13-11-2025,04:11:04,2919.65
O00002704,U001093,21-07-2025,13:00:24,2913.91
O00004232,U005567,07-08-2025,20:26:29,2912.05
O00001929,U008472,17-01-2024,13:53:20,2911.10
O00017328,U004317,25-12-2024,03:37:54,2910.30
O00017806,U004161,08-07-2024,10:36:48,2907.28
O00010604,U002868,26-10-2024,00:31:50,2905.02
O00014157,U002255,29-06-2024,18:05:51,2903.49
O00016774,U004025,02-06-2024,02:11:21,2902.76
O00019412,U000511,08-05-2025,16:51:20,2899.31
O00005832,U000964,12-11-2025,22:06:00,2897.95
O00013208,U009246,29-01-2025,13:12:24,2897.95
O00007963,U004737,07-12-2024,04:04:19,2895.51
O00002496,U009246,01-08-2024,14:09:42,2893.64
O00003768,U003980,10-04-2024,04:46:39,2891.84
O00014326,U009806,18-01-2025,00:00:44,2891.27
O00014686,U000837,01-05-2024,22:17:37,2890.61
O00015838,U002707,13-04-2025,13:14:37,2885.06
O00017285,U006559,26-12-2024,06:27:27,2882.27
O00006671,U002149,05-03-2025,07:19:48,2879.77
O00018416,U009406,27-06-2025,23:52:26,2876.90
O00002872,U005699,13-11-2024,07:04:21,2876.86
O00017802,U009678,05-07-2024,18:13:55,2873.71
O00003675,U008350,07-08-2025,21:35:11,2872.53
O00019609,U007688,19-01-2024,00:34:22,2871.33
O00015673,U000023,09-02-2024,04:32:39,2869.96
O00003905,U006665,15-09-2024,14:28:30,2868.69
O00019934,U000458,18-07-2025,17:41:45,2868.55
O00018636,U000217,20-05-2025,14:31:44,2862.77
O00000749,U003848,28-05-2024,21:11:42,2862.02
O00008730,U004161,11-02-2024,10:55:02,2861.48
O00001764,U002614,05-05-2025,19:26:05,2859.09
O00012903,U005702,05-09-2025,23:40:22,2858.00
O00002930,U006099,04-04-2025,17:30:30,2857.11
O00019405,U008253,11-03-2024,07:42:44,2855.07
O00001635,U004451,19-01-2024,23:31:58,2852.30
O00018045,U002210,01-09-2024,16:07:03,2849.31
O00001442,U004550,02-11-2025,15:32:48,2849.19
O00002003,U008528,08-05-2025,00:05:33,2846.32
O00000446,U001117,27-05-2024,06:17:23,2845.08
O00006672,U004742,03-11-2024,14:14:33,2844.18
O00017835,U005077,26-06-2024,14:26:55,2843.14
