review_id,order_id,product_id,user_id,rating,review_text,review_date,review_time
R00031009,O00014244,P000202,U006225,4.00,"Excellent product, will buy again.",05-04-2024,18:14:03
R00008447,O00003864,P001822,U004324,3.00,Decent product for the price.,22-07-2025,23:02:08
R00010345,O00004759,P001075,U003165,5.00,Fast shipping and good packaging.,03-11-2024,11:00:23
R00029295,O00013467,P001276,U006859,2.00,Value for money.,13-06-2024,02:35:27
R00018598,O00008592,P000594,U001571,4.00,Highly recommend this brand.,25-09-2024,08:50:25
R00033113,O00015213,P001511,U008709,3.00,Decent product for the price.,01-04-2024,21:03:37
R00037990,O00017425,P001473,U006985,4.00,Color was different from images.,05-02-2025,09:38:56
R00021670,O00010004,P001684,U000763,5.00,Color was different from images.,11-11-2024,08:23:24
R00029533,O00013573,P000758,U009007,5.00,Decent product for the price.,10-07-2025,06:42:20
R00041687,O00019125,P001817,U005096,5.00,Color was different from images.,01-10-2025,15:35:39
R00028308,O00013017,P001868,U003694,3.00,Decent product for the price.,25-04-2025,10:48:16
R00017169,O00007929,P001315,U002039,5.00,Customer service was helpful.,10-07-2025,18:58:09
R00007179,O00003257,P000161,U006365,4.00,Customer service was helpful.,30-07-2025,03:24:44
R00042427,O00019484,P001773,U009903,3.00,Decent product for the price.,23-03-2024,00:35:03
R00026462,O00012194,P001700,U005062,2.00,Item arrived damaged.,19-02-2025,12:23:09
R00004910,O00002237,P000767,U009510,4.00,Value for money.,05-10-2025,18:11:13
R00008786,O00004021,P000909,U003178,2.00,"Excellent product, will buy again.",16-05-2025,23:50:33
R00001513,O00000682,P000934,U004291,5.00,"Excellent product, will buy again.",30-05-2025,17:30:05
R00028892,O00013290,P001791,U000280,5.00,Fast shipping and good packaging.,02-05-2024,10:59:20
R00001745,O00000794,P000986,U002451,4.00,Value for money.,07-05-2024,19:53:57
R00041701,O00019133,P001086,U007312,4.00,Color was different from images.,30-01-2025,00:02:19
R00031766,O00014586,P001844,U000487,4.00,Works perfectly!,23-02-2024,21:43:26
R00034848,O00015997,P001992,U004906,5.00,"Excellent product, will buy again.",16-02-2025,12:00:32
R00022242,O00010276,P001612,U006670,2.00,Fast shipping and good packaging.,29-05-2025,00:06:21
R00006849,O00003101,P000575,U003565,2.00,"Excellent product, will buy again.",14-04-2024,07:48:06
R00020923,O00009674,P000453,U006699,2.00,Works perfectly!,13-03-2024,21:17:35
R00002097,O00000967,P001431,U001488,5.00,Value for money.,29-02-2024,06:49:15
R00026921,O00012380,P001835,U003289,3.00,Item arrived damaged.,13-04-2025,18:49:00
R00036887,O00016926,P001083,U008550,5.00,"Not as expected, quality is poor.",02-05-2024,06:28:40
R00027073,O00012450,P001874,U003749,4.00,"Not as expected, quality is poor.",09-03-2025,13:37:39
R00030070,O00013819,P001839,U001762,2.00,Item arrived damaged.,27-12-2024,01:35:30
R00017206,O00007947,P001879,U007305,5.00,Value for money.,15-03-2024,19:57:04
R00006192,O00002801,P000735,U000684,5.00,"Excellent product, will buy again.",09-07-2024,07:26:46
R00003808,O00001723,P000057,U000019,3.00,Highly recommend this brand.,13-06-2024,06:41:26
R00034002,O00015608,P000615,U004817,4.00,Color was different from images.,30-06-2025,08:43:57
R00026736,O00012305,P000281,U006274,2.00,Works perfectly!,20-07-2024,22:44:43
R00030517,O00014020,P000444,U007269,5.00,"Not as expected, quality is poor.",29-05-2024,05:38:19
R00030129,O00013843,P001349,U008892,3.00,Fast shipping and good packaging.,03-06-2024,10:10:41
R00002814,O00001292,P000260,U003672,3.00,Fast shipping and good packaging.,23-04-2024,22:43:40
R00001424,O00000639,P000668,U008489,4.00,Works perfectly!,21-02-2025,18:16:45
R00028221,O00012980,P000265,U000564,3.00,Value for money.,11-03-2025,23:31:57
R00025177,O00011621,P000681,U005571,3.00,Customer service was helpful.,29-05-2024,21:02:37
R00005923,O00002686,P000547,U009218,4.00,Item arrived damaged.,07-09-2024,09:44:19
R00009960,O00004568,P001892,U006627,3.00,Customer service was helpful.,18-07-2024,23:28:12
R00038052,O00017451,P000610,U008835,5.00,Works perfectly!,29-08-2025,08:28:31
R00029572,O00013592,P000565,U008725,4.00,Highly recommend this brand.,06-10-2024,07:05:19
R00028425,O00013073,P000560,U002904,4.00,Color was different from images.,25-01-2025,14:53:15
R00042210,O00019380,P001217,U003670,3.00,"Excellent product, will buy again.",02-07-2024,00:01:16
R00032591,O00014961,P000986,U004488,5.00,Fast shipping and good packaging.,29-04-2025,02:52:21
R00023978,O00011062,P000089,U009761,4.00,Customer service was helpful.,24-10-2024,19:04:36
R00033317,O00015299,P000496,U009183,3.00,Color was different from images.,15-07-2024,05:38:38
R00012856,O00005907,P001066,U007676,5.00,"Not as expected, quality is poor.",03-07-2024,19:48:47
R00015322,O00007059,P000590,U008904,5.00,"Excellent product, will buy again.",04-08-2025,19:48:32
R00023869,O00011017,P000004,U001871,5.00,Decent product for the price.,22-10-2025,11:24:20
R00042346,O00019442,P000609,U003909,4.00,Item arrived damaged.,24-07-2025,19:34:49
R00041646,O00019108,P000891,U003089,4.00,Customer service was helpful.,15-06-2025,21:11:51
R00018490,O00008538,P001217,U004531,3.00,Value for money.,30-06-2025,04:56:51
R00029072,O00013374,P000251,U003006,3.00,Customer service was helpful.,19-03-2025,23:59:10
R00027700,O00012739,P000183,U003583,5.00,Highly recommend this brand.,29-10-2024,06:49:50
R00011782,O00005423,P000509,U005590,5.00,"Excellent product, will buy again.",26-10-2024,11:47:11
R00014581,O00006717,P000568,U003854,4.00,Item arrived damaged.,30-04-2024,21:32:02
R00009568,O00004407,P000164,U009165,3.00,Works perfectly!,07-04-2024,11:01:43
R00029022,O00013353,P000599,U005902,3.00,Fast shipping and good packaging.,17-03-2024,09:39:38
R00042815,O00019677,P001720,U000106,3.00,Decent product for the price.,26-03-2024,14:10:02
R00033026,O00015166,P001254,U009027,2.00,Color was different from images.,21-10-2025,19:55:36
R00001764,O00000802,P000002,U005827,4.00,Decent product for the price.,05-04-2025,20:10:48
R00035211,O00016172,P001673,U008447,4.00,Highly recommend this brand.,23-02-2025,03:03:37
R00031386,O00014411,P001371,U009866,3.00,Color was different from images.,26-07-2024,03:41:29
R00011246,O00005178,P001012,U007204,3.00,"Not as expected, quality is poor.",08-11-2024,23:13:05
R00038213,O00017523,P000885,U001761,3.00,Value for money.,26-02-2024,00:14:46
R00009263,O00004253,P000165,U009954,5.00,Customer service was helpful.,16-10-2024,22:52:29
R00027798,O00012786,P001907,U004483,4.00,Highly recommend this brand.,28-02-2025,08:00:48
R00013920,O00006404,P000025,U002788,5.00,Color was different from images.,30-10-2024,06:58:54
R00040025,O00018356,P000467,U009645,3.00,Highly recommend this brand.,12-07-2025,06:04:26
R00016275,O00007518,P000780,U001071,3.00,Color was different from images.,19-07-2025,05:02:31
R00004748,O00002158,P000789,U000528,4.00,Value for money.,22-02-2024,13:21:16
R00015324,O00007060,P000172,U000078,4.00,"Not as expected, quality is poor.",21-09-2024,14:09:18
R00031049,O00014262,P001965,U007887,5.00,Fast shipping and good packaging.,06-07-2024,03:57:24
R00030573,O00014045,P000141,U004172,1.00,Works perfectly!,01-05-2025,19:25:30
R00013094,O00006014,P001488,U009557,2.00,Item arrived damaged.,25-01-2024,16:25:07
R00024593,O00011350,P001542,U009554,3.00,Works perfectly!,26-10-2024,16:56:32
R00016898,O00007802,P001082,U001541,2.00,Color was different from images.,15-09-2025,16:24:33
R00026761,O00012317,P000274,U008741,2.00,"Not as expected, quality is poor.",19-03-2025,01:47:37
R00022161,O00010239,P000384,U001676,5.00,Item arrived damaged.,09-12-2024,03:25:18
R00004041,O00001843,P000391,U009902,3.00,Fast shipping and good packaging.,01-09-2024,12:11:12
R00008245,O00003769,P001882,U004428,1.00,"Not as expected, quality is poor.",23-02-2025,00:49:49
R00010924,O00005025,P000459,U008791,4.00,Works perfectly!,09-03-2024,12:58:11
R00042500,O00019522,P001461,U005717,2.00,Fast shipping and good packaging.,14-05-2025,04:49:41
R00024783,O00011433,P000527,U009716,3.00,Decent product for the price.,21-03-2025,20:48:18
R00032085,O00014733,P001524,U007910,4.00,Fast shipping and good packaging.,07-04-2024,07:01:16
R00020197,O00009330,P001958,U007748,4.00,Item arrived damaged.,06-05-2024,20:19:23
R00024849,O00011463,P000026,U008222,4.00,Decent product for the price.,08-04-2025,16:01:52
R00007216,O00003279,P000787,U000010,3.00,Customer service was helpful.,28-05-2024,17:31:48
R00034192,O00015696,P001900,U005445,3.00,Customer service was helpful.,29-07-2025,13:16:00
R00039566,O00018142,P000239,U003112,2.00,Works perfectly!,26-07-2025,11:01:33
R00011470,O00005280,P001501,U007771,5.00,Fast shipping and good packaging.,31-12-2024,08:23:01
R00009070,O00004159,P000701,U002442,4.00,"Not as expected, quality is poor.",05-05-2025,15:39:43
R00012544,O00005763,P000983,U008880,5.00,Value for money.,27-06-2025,16:01:08
R00009587,O00004414,P001376,U004306,3.00,"Excellent product, will buy again.",26-05-2025,08:25:54
R00005620,O00002559,P000761,U006853,5.00,"Excellent product, will buy again.",03-10-2024,04:43:14
R00037076,O00017016,P000373,U000171,5.00,Decent product for the price.,17-05-2024,21:05:10
R00014196,O00006534,P000762,U003827,4.00,Works perfectly!,30-07-2025,16:10:09
R00037380,O00017159,P001565,U008562,5.00,Customer service was helpful.,01-07-2024,19:48:28
R00034593,O00015881,P000990,U007953,3.00,"Excellent product, will buy again.",30-09-2024,13:29:43
R00012289,O00005646,P001962,U001438,5.00,Item arrived damaged.,19-09-2024,16:21:30
R00005203,O00002366,P001425,U001820,3.00,"Excellent product, will buy again.",20-12-2024,14:27:43
R00017093,O00007896,P000091,U005226,4.00,"Excellent product, will buy again.",19-04-2024,09:50:36
R00009864,O00004526,P000508,U008268,4.00,Value for money.,26-10-2024,03:43:14
R00033323,O00015302,P001695,U007704,3.00,Item arrived damaged.,24-01-2025,01:24:58
R00038788,O00017781,P001364,U009919,4.00,"Not as expected, quality is poor.",08-06-2025,20:14:55
R00038523,O00017658,P000444,U001908,3.00,Highly recommend this brand.,16-01-2024,23:45:27
R00041984,O00019263,P001498,U004134,1.00,"Excellent product, will buy again.",29-07-2024,16:53:19
R00027550,O00012667,P000700,U008710,4.00,Fast shipping and good packaging.,13-12-2024,13:10:43
R00038454,O00017626,P001533,U008801,2.00,Color was different from images.,17-05-2025,04:05:17
R00005207,O00002367,P000723,U001833,4.00,Item arrived damaged.,25-02-2025,16:54:15
R00006247,O00002826,P001149,U008424,5.00,Value for money.,17-07-2025,13:03:58
R00005806,O00002633,P001203,U003768,3.00,Fast shipping and good packaging.,25-10-2025,22:35:40
R00037309,O00017123,P000481,U009145,3.00,Highly recommend this brand.,23-03-2025,11:09:50
R00025790,O00011888,P001568,U007288,4.00,Fast shipping and good packaging.,03-10-2024,09:53:22
R00008925,O00004087,P000651,U000316,3.00,Fast shipping and good packaging.,10-03-2025,07:39:13
R00006388,O00002886,P000010,U001633,3.00,"Not as expected, quality is poor.",22-02-2024,21:31:36
R00042617,O00019578,P001010,U007639,4.00,Fast shipping and good packaging.,02-08-2024,20:15:57
R00028352,O00013039,P001936,U006516,5.00,Item arrived damaged.,04-11-2025,02:02:02
R00003565,O00001613,P002000,U003174,3.00,Value for money.,30-06-2025,05:55:59
R00027031,O00012431,P001570,U004325,4.00,Item arrived damaged.,19-01-2024,16:55:27
R00013211,O00006075,P000735,U003370,4.00,"Not as expected, quality is poor.",17-04-2025,00:15:00
R00010765,O00004955,P001594,U008571,3.00,Item arrived damaged.,16-07-2025,03:42:48
R00041740,O00019150,P000687,U005748,3.00,Highly recommend this brand.,04-02-2024,17:05:43
R00013454,O00006191,P000052,U002239,3.00,"Not as expected, quality is poor.",15-07-2025,02:32:59
R00030409,O00013968,P001639,U004626,1.00,Decent product for the price.,06-07-2025,08:05:25
R00016278,O00007518,P001382,U001071,5.00,Customer service was helpful.,09-10-2025,02:21:04
R00030644,O00014075,P001178,U000932,3.00,Highly recommend this brand.,18-01-2025,18:25:17
R00038703,O00017732,P001613,U000462,4.00,Color was different from images.,24-02-2025,19:08:02
R00015979,O00007376,P001321,U007306,4.00,Value for money.,29-07-2024,14:23:41
R00018116,O00008376,P000078,U007393,3.00,"Not as expected, quality is poor.",03-11-2024,23:22:04
R00024441,O00011276,P000434,U003904,3.00,Highly recommend this brand.,04-05-2025,05:56:54
R00024854,O00011465,P001336,U002167,4.00,Highly recommend this brand.,17-01-2024,20:18:27
R00042585,O00019564,P001945,U008694,4.00,Customer service was helpful.,07-10-2024,18:19:03
R00018188,O00008405,P001392,U000158,5.00,Item arrived damaged.,30-03-2025,00:41:27
R00003602,O00001631,P000435,U009616,3.00,Value for money.,25-05-2025,01:55:15
R00020552,O00009502,P001182,U006159,5.00,Customer service was helpful.,24-12-2024,14:29:00
R00022953,O00010592,P000593,U006087,2.00,Value for money.,21-11-2024,06:23:22
R00010161,O00004669,P000099,U004344,4.00,"Not as expected, quality is poor.",03-07-2025,08:17:19
R00029187,O00013427,P001141,U006685,3.00,"Excellent product, will buy again.",23-05-2025,16:21:36
R00012048,O00005543,P001674,U003511,3.00,"Not as expected, quality is poor.",04-10-2024,12:14:05
R00004359,O00001995,P000693,U008136,4.00,Highly recommend this brand.,18-07-2024,23:17:16
R00016129,O00007458,P000767,U003078,3.00,Value for money.,01-06-2025,10:48:03
R00015748,O00007270,P000481,U009410,4.00,Highly recommend this brand.,26-01-2024,11:25:46
R00033442,O00015358,P001165,U004707,2.00,Item arrived damaged.,28-01-2025,13:32:17
R00010558,O00004860,P000985,U004840,2.00,Decent product for the price.,08-06-2025,10:50:16
R00013933,O00006411,P001859,U007986,3.00,Value for money.,25-03-2024,01:20:26
R00020804,O00009617,P000396,U006480,3.00,"Not as expected, quality is poor.",20-12-2024,10:29:42
R00039428,O00018077,P000497,U001608,2.00,Works perfectly!,02-06-2024,09:04:17
R00030713,O00014103,P000074,U003731,5.00,"Not as expected, quality is poor.",11-12-2024,15:30:05
R00032175,O00014775,P000291,U004953,4.00,Highly recommend this brand.,03-05-2025,04:58:23
R00040716,O00018667,P000855,U008512,2.00,Works perfectly!,10-01-2025,00:33:00
R00032165,O00014770,P000310,U001322,5.00,"Excellent product, will buy again.",05-04-2024,16:15:30
R00003954,O00001795,P000319,U005191,5.00,Highly recommend this brand.,23-02-2025,10:31:20
R00012524,O00005753,P000506,U003650,4.00,Customer service was helpful.,12-06-2025,12:46:31
R00008778,O00004018,P001578,U007086,5.00,Color was different from images.,17-11-2024,14:36:27
R00039251,O00017997,P000806,U000881,3.00,Fast shipping and good packaging.,08-11-2024,11:38:34
R00019275,O00008911,P001578,U000561,4.00,"Not as expected, quality is poor.",18-09-2025,04:05:41
R00002018,O00000929,P000032,U009389,2.00,Fast shipping and good packaging.,17-01-2025,23:16:47
R00034036,O00015625,P000323,U004404,4.00,Value for money.,07-05-2024,09:05:00
R00039744,O00018228,P001188,U008058,2.00,Item arrived damaged.,30-03-2024,23:41:03
R00019530,O00009032,P000189,U000379,5.00,"Excellent product, will buy again.",04-12-2024,10:28:57
R00023128,O00010672,P001593,U005067,3.00,Item arrived damaged.,15-10-2024,12:02:28
R00012566,O00005773,P001550,U000631,5.00,Customer service was helpful.,12-04-2025,03:21:35
R00010876,O00005005,P000401,U009771,2.00,Color was different from images.,08-08-2025,16:07:53
R00002505,O00001152,P001789,U006817,4.00,"Not as expected, quality is poor.",05-10-2025,08:49:52
R00032380,O00014870,P001076,U008702,5.00,Customer service was helpful.,05-08-2025,02:40:52
R00030135,O00013845,P001850,U002691,2.00,Color was different from images.,29-10-2025,11:25:49
R00021360,O00009873,P001705,U007610,5.00,Works perfectly!,01-04-2025,13:12:21
R00011739,O00005404,P000382,U002028,4.00,"Not as expected, quality is poor.",10-11-2024,00:28:06
R00022851,O00010551,P000380,U001458,2.00,Customer service was helpful.,21-04-2024,04:04:21
R00011471,O00005281,P000201,U004215,3.00,Color was different from images.,27-06-2025,10:10:31
R00025689,O00011848,P001893,U000047,5.00,Color was different from images.,18-01-2024,11:39:42
R00012978,O00005960,P000791,U007673,5.00,Value for money.,30-12-2024,00:57:12
R00018418,O00008506,P000096,U006885,3.00,Highly recommend this brand.,28-05-2024,01:56:00
R00013437,O00006184,P001226,U001043,4.00,"Not as expected, quality is poor.",11-04-2024,14:13:37
R00027192,O00012502,P001266,U007561,3.00,Item arrived damaged.,15-01-2025,03:20:22
R00015515,O00007157,P000378,U001279,4.00,Works perfectly!,09-05-2024,11:05:24
R00035344,O00016230,P001456,U008504,3.00,Highly recommend this brand.,22-01-2025,07:40:25
R00018113,O00008374,P001350,U007166,3.00,"Excellent product, will buy again.",25-07-2024,16:13:46
R00004908,O00002237,P000767,U009510,3.00,Color was different from images.,15-01-2024,03:44:32
R00017670,O00008169,P001352,U001130,5.00,Works perfectly!,04-02-2024,20:35:36
R00000249,O00000106,P001284,U008953,4.00,Decent product for the price.,14-01-2024,08:34:52
R00015538,O00007170,P000669,U007470,3.00,Color was different from images.,07-01-2024,23:38:04
R00003781,O00001709,P000986,U004633,2.00,Decent product for the price.,16-06-2025,09:58:13
R00035146,O00016144,P001549,U009563,4.00,Color was different from images.,18-02-2024,22:32:47
R00005946,O00002696,P001333,U005662,1.00,Value for money.,18-11-2024,04:06:26
R00023867,O00011016,P001633,U001880,3.00,Fast shipping and good packaging.,16-02-2025,21:16:32
R00004943,O00002256,P001578,U003145,5.00,Highly recommend this brand.,05-01-2024,12:48:12
R00026088,O00012014,P001790,U003090,4.00,Decent product for the price.,22-02-2024,00:18:15
R00020606,O00009527,P001203,U001768,4.00,Works perfectly!,24-04-2025,23:49:37
R00040734,O00018673,P001226,U006030,4.00,Highly recommend this brand.,07-08-2025,08:01:34
R00016681,O00007703,P001408,U006557,4.00,Highly recommend this brand.,07-06-2025,07:56:49
R00021794,O00010065,P000685,U009954,4.00,"Not as expected, quality is poor.",12-11-2024,00:44:11
R00029463,O00013543,P000160,U000006,3.00,Highly recommend this brand.,20-09-2025,23:57:38
R00018877,O00008720,P000955,U006622,4.00,"Not as expected, quality is poor.",20-08-2024,10:33:34
R00043105,O00019820,P000048,U008874,3.00,Value for money.,03-02-2024,18:15:19
R00020375,O00009414,P000729,U000456,3.00,"Not as expected, quality is poor.",04-10-2025,19:12:31
R00026094,O00012017,P001005,U009411,3.00,Customer service was helpful.,04-12-2024,17:59:39
R00023297,O00010747,P001547,U009319,3.00,Customer service was helpful.,21-02-2025,13:42:07
R00013523,O00006224,P001411,U003385,4.00,Customer service was helpful.,08-11-2024,09:57:18
R00017691,O00008176,P000921,U009372,3.00,Fast shipping and good packaging.,27-04-2024,22:06:36
R00014056,O00006471,P000876,U004439,4.00,Customer service was helpful.,06-04-2024,04:17:14
R00009090,O00004167,P000840,U003231,4.00,"Not as expected, quality is poor.",17-02-2025,13:20:09
R00023177,O00010693,P001547,U007656,4.00,Highly recommend this brand.,12-09-2025,21:59:01
R00011731,O00005400,P001114,U004475,2.00,Color was different from images.,22-04-2024,21:59:21
R00009567,O00004406,P001068,U006871,4.00,Highly recommend this brand.,08-06-2024,23:48:14
R00026145,O00012044,P000394,U002533,5.00,"Excellent product, will buy again.",28-04-2024,15:01:54
R00009402,O00004318,P000003,U004306,4.00,Highly recommend this brand.,12-05-2025,15:09:06
R00039057,O00017901,P001246,U006795,4.00,"Excellent product, will buy again.",02-05-2025,17:22:45
R00005676,O00002579,P001370,U005808,4.00,"Excellent product, will buy again.",09-06-2024,21:13:38
R00014110,O00006496,P000717,U002767,4.00,Value for money.,03-07-2024,17:03:21
R00040454,O00018543,P000732,U003910,4.00,Value for money.,08-01-2025,07:27:31
R00019351,O00008950,P000356,U001565,2.00,Highly recommend this brand.,09-05-2025,16:46:33
R00013335,O00006134,P001381,U003165,4.00,Customer service was helpful.,29-10-2024,23:06:41
R00033932,O00015579,P001591,U000025,4.00,Color was different from images.,05-09-2024,02:49:18
R00008293,O00003795,P001159,U009630,2.00,Value for money.,26-11-2024,21:36:46
R00022183,O00010252,P001477,U007653,1.00,Item arrived damaged.,13-02-2024,22:05:33
R00009901,O00004541,P001559,U002044,4.00,Item arrived damaged.,21-10-2025,13:30:12
R00021755,O00010047,P000101,U007904,1.00,Works perfectly!,06-04-2024,01:25:19
R00010657,O00004901,P000069,U005072,4.00,Value for money.,02-01-2024,10:42:21
